model,context_length,mean_acceptance_length,peak_memory_gb,draft_overhead_gb,draft_weight_gb,max_draft_cache_gb,max_target_hidden_states_gb,max_context_feature_gb,max_target_cache_gb,mean_latency_s,mean_ttft_s,mean_decode_s,mean_time_per_output_token_ms,aggregate_time_per_output_token_ms,decode_throughput_tok_s,drafter_share_of_decode_pct,draft_forward_s,context_feature_s,target_forward_s,other_s,mean_output_tokens
qwen3-8b,4096,3.1101,19.2564,3.3536,1.9532,0.0879,1.1562,0.1562,0.6328,3.6457,0.6898,2.9559,20.916,16.653,60.05,10.697,10.024,0.095,80.328,4.141,177.5
qwen3-8b,8192,3.0853,21.2881,4.7442,1.9532,0.166,2.3125,0.3125,1.1953,5.4075,1.4469,3.9606,28.357,21.639,46.214,9.372,11.766,0.112,110.532,4.327,183.03
qwen3-8b,16384,2.5049,25.3558,7.5258,1.9532,0.3223,4.6253,0.625,2.3203,12.5378,3.2664,9.2715,52.315,42.578,23.486,6.937,20.402,0.177,269.842,6.264,217.75
qwen3-8b,32768,1.4795,33.4882,13.0797,1.9532,0.6262,9.2503,1.25,4.5085,9.532,8.1012,1.4308,127.551,116.39,8.592,11.267,5.024,0.13,40.107,0.481,12.28
qwen3-8b,65536,2.5489,62.26,24.213,1.9532,1.2598,18.5,2.5,9.0703,29.7529,23.6225,6.1304,206.938,125.0,8.0,7.068,13.597,0.265,180.845,1.417,49.03
qwen3.5-9b,4096,8.9759,22.5056,3.7839,2.4064,0.0963,1.0312,0.25,0.1948,5.111,1.1212,3.9899,26.364,16.227,61.625,5.791,7.332,0.061,117.427,2.854,245.88
qwen3.5-9b,8192,7.0721,25.8668,5.1567,2.4064,0.1879,2.0625,0.5,0.3191,6.0344,2.2312,3.8032,29.95,20.572,48.61,6.379,7.68,0.084,111.239,2.7,184.88
qwen3.5-9b,16384,8.832,32.5913,7.9067,2.4064,0.3754,4.125,1.0,0.5698,8.9372,4.7746,4.1626,26.726,16.934,59.053,7.178,9.428,0.134,120.818,2.823,245.81
qwen3.5-9b,32768,7.0583,49.9066,13.4067,2.4064,0.7504,8.25,2.0,1.0691,11.3907,10.7194,0.6713,61.213,28.251,35.397,25.989,5.377,0.196,15.655,0.215,23.72
qwen3.5-9b,65536,6.9074,87.1748,24.4067,2.4064,1.5004,16.5,4.0,2.068,25.6889,24.7917,0.8972,81.076,36.845,27.141,36.55,10.079,0.398,18.128,0.06,24.31
