model,context_length,mode,mean_latency_s,mean_ttft_s,mean_decode_s,mean_time_per_output_token_ms,aggregate_time_per_output_token_ms,decode_throughput_tok_s,peak_memory_gb,peak_memory_reserved_gb,max_target_cache_gb,target_forwards_per_req,mean_output_tokens,speedup_tpot,ratio_throughput,ratio_target_forwards,ratio_memory
qwen3-8b,4096,dflash,3.6457,0.6898,2.9559,20.916,16.653,60.05,19.2564,19.8984,0.6328,56.75,177.5,1.8334,1.8334,3.0881,1.0586
qwen3-8b,4096,baseline,6.0735,0.6923,5.3812,27.745,30.532,32.753,18.1904,19.8984,0.6327,175.25,176.25,,,,
qwen3-8b,8192,dflash,5.4075,1.4469,3.9606,28.357,21.639,46.214,21.2881,22.0098,1.1953,59.0,183.03,1.5276,1.5276,3.2087,1.111
qwen3-8b,8192,baseline,7.7393,1.4483,6.291,30.188,33.056,30.252,19.1613,22.0098,1.1952,189.31,190.31,,,,
qwen3-8b,16384,dflash,12.5378,3.2664,9.2715,52.315,42.578,23.486,25.3558,28.0547,2.3203,86.53,217.75,0.8924,0.8924,2.5132,1.2015
qwen3-8b,16384,baseline,11.5676,3.2667,8.3008,34.869,37.995,26.319,21.1032,28.0547,2.3202,217.47,218.47,,,,
qwen3-8b,32768,dflash,9.532,8.1012,1.4308,127.551,116.39,8.592,33.4882,34.7422,4.5085,7.62,12.28,0.3844,0.3844,1.4836,1.3403
qwen3-8b,32768,baseline,8.6461,8.0939,0.5522,39.739,44.737,22.353,24.9847,34.7422,4.5066,11.31,12.31,,,,
qwen3-8b,65536,dflash,29.7529,23.6225,6.1304,206.938,125.0,8.0,62.26,67.1289,9.0703,18.84,49.03,0.542,0.542,2.6153,1.9005
qwen3-8b,65536,baseline,26.4484,23.0404,3.408,59.087,67.746,14.761,32.7597,67.1289,9.0702,49.28,50.28,,,,
qwen3.5-9b,4096,dflash,5.111,1.1212,3.9899,26.364,16.227,61.625,22.5056,22.8516,0.1948,27.28,245.88,2.3625,2.3625,6.4914,1.042
qwen3.5-9b,4096,baseline,7.9493,1.1218,6.8276,35.224,38.337,26.085,21.5993,22.8516,0.1893,177.09,178.09,,,,
qwen3.5-9b,8192,dflash,6.0344,2.2312,3.8032,29.95,20.572,48.61,25.8668,26.5391,0.3191,26.0,184.88,1.8471,1.8471,5.7031,1.0754
qwen3.5-9b,8192,baseline,7.9014,2.229,5.6724,34.666,37.998,26.317,24.0543,26.5391,0.3143,148.28,149.28,,,,
qwen3.5-9b,16384,dflash,8.9372,4.7746,4.1626,26.726,16.934,59.053,32.5913,35.25,0.5698,27.72,245.81,2.2812,2.2812,8.2604,1.1251
qwen3.5-9b,16384,baseline,13.655,4.7714,8.8836,36.067,38.629,25.887,28.9663,35.25,0.5643,228.97,229.97,,,,
qwen3.5-9b,32768,dflash,11.3907,10.7194,0.6713,61.213,28.251,35.397,49.9066,55.5566,1.0691,3.22,23.72,1.6068,1.6068,2.9709,1.2863
qwen3.5-9b,32768,baseline,10.9426,10.4619,0.4807,43.069,45.393,22.03,38.7983,55.5566,1.0504,9.56,10.56,,,,
qwen3.5-9b,65536,dflash,25.6889,24.7917,0.8972,81.076,36.845,27.141,87.1748,110.0156,2.068,3.38,24.31,1.3189,1.3189,2.9537,1.4913
qwen3.5-9b,65536,baseline,24.4137,23.8794,0.5344,46.174,48.596,20.578,58.4551,110.0156,2.0501,9.97,10.97,,,,
