model,context,batch,phase,seconds,bytes,flops,intensity,gbps,tflops,bw_fraction,compute_fraction,weight_bytes,kv_bytes,gdn_bytes,gemm_flops,attention_flops,verdict,draft_context_columns
qwen3-8b,4096,1,baseline verify,0.029263,1.57604e+10,1.76282e+10,1.11851,538.578,0.602406,0.748228,0.00456811,1.51368e+10,6.23002e+08,0,1.51368e+10,2.49142e+09,HBM-bound,
qwen3-8b,4096,1,dflash verify,0.0319313,1.57717e+10,2.82052e+11,17.8833,493.928,8.83308,0.686197,0.0669822,1.51368e+10,6.25213e+08,0,2.42189e+11,3.98627e+10,below both roofs (kernel/launch),
qwen3-8b,4096,1,dflash draft,0.0078466,3.43801e+09,5.59676e+10,16.2791,438.152,7.13272,0.60871,0.0540882,,,,,,below both roofs (kernel/launch),3.45137
qwen3-8b,4096,2,baseline verify,0.030055,1.6384e+10,3.52565e+10,2.15188,545.136,1.17307,0.757338,0.00889548,1.51368e+10,1.246e+09,0,3.02736e+10,4.98283e+09,HBM-bound,
qwen3-8b,4096,2,dflash verify,0.0337869,1.64067e+10,5.64103e+11,34.3825,485.594,16.6959,0.674618,0.126607,1.51368e+10,1.25043e+09,0,4.84378e+11,7.97253e+10,below both roofs (kernel/launch),
qwen3-8b,4096,2,dflash draft,0.00824523,3.53419e+09,1.12468e+11,31.8228,428.634,13.6403,0.595486,0.103436,,,,,,below both roofs (kernel/launch),4.5095
qwen3-8b,4096,4,baseline verify,0.0318286,1.76312e+10,7.05129e+10,3.99931,553.944,2.2154,0.769575,0.0167996,1.51368e+10,2.49201e+09,0,6.05472e+10,9.96567e+09,HBM-bound,
qwen3-8b,4096,4,dflash verify,0.0378467,1.76766e+10,1.12821e+12,63.825,467.056,29.8099,0.648865,0.226051,1.51368e+10,2.50085e+09,0,9.68756e+11,1.59451e+11,below both roofs (kernel/launch),
qwen3-8b,4096,4,dflash draft,0.00902962,3.72666e+09,2.26163e+11,60.6879,412.715,25.0468,0.57337,0.189932,,,,,,below both roofs (kernel/launch),5.72881
qwen3-8b,4096,8,baseline verify,0.0354612,2.01257e+10,1.41026e+11,7.00726,567.542,3.97691,0.788466,0.0301573,1.51368e+10,4.98401e+09,0,1.21094e+11,1.99313e+10,HBM-bound,
qwen3-8b,4096,8,dflash verify,0.0454819,2.02163e+10,2.25641e+12,111.614,444.492,49.6113,0.617517,0.376207,1.51368e+10,5.00171e+09,0,1.93751e+12,3.18901e+11,below both roofs (kernel/launch),
qwen3-8b,4096,8,dflash draft,0.00991562,4.11187e+09,4.55226e+11,110.71,414.687,45.91,0.57611,0.34814,,,,,,below both roofs (kernel/launch),7.16915
qwen3-8b,4096,16,baseline verify,0.043024,2.51146e+10,2.82052e+11,11.2306,583.733,6.55568,0.81096,0.0497124,1.51368e+10,9.96803e+09,0,2.42189e+11,3.98627e+10,HBM-bound,
qwen3-8b,4096,16,dflash verify,0.0846652,2.52958e+10,4.51283e+12,178.402,298.775,53.302,0.415077,0.404195,1.51368e+10,1.00034e+10,0,3.87502e+12,6.37803e+11,below both roofs (kernel/launch),
qwen3-8b,4096,16,dflash draft,0.0161003,4.8832e+09,9.18855e+11,188.166,303.298,57.0705,0.421361,0.432771,,,,,,"past ridge, below compute roof",9.25604
qwen3-8b,4096,32,baseline verify,0.063378,3.50923e+10,5.64103e+11,16.0748,553.698,8.90061,0.769234,0.0674942,1.51368e+10,1.99361e+10,0,4.84378e+11,7.97253e+10,HBM-bound,
qwen3-8b,4096,32,dflash verify,0.142035,3.54548e+10,9.02565e+12,254.568,249.621,63.5454,0.346789,0.481871,1.51368e+10,2.00068e+10,0,7.75005e+12,1.27561e+12,"past ridge, below compute roof",
qwen3-8b,4096,32,dflash draft,0.0271395,6.42567e+09,1.84499e+12,287.129,236.765,67.9819,0.328929,0.515514,,,,,,"past ridge, below compute roof",10.1607
qwen3-8b,8192,1,baseline verify,0.0296961,1.63644e+10,2.00441e+10,1.22486,551.063,0.674976,0.765572,0.00511841,1.51368e+10,1.22698e+09,0,1.51368e+10,4.90734e+09,HBM-bound,
qwen3-8b,8192,1,dflash verify,0.0354005,1.63757e+10,3.20706e+11,19.5842,462.585,9.05938,0.642653,0.0686982,1.51368e+10,1.22919e+09,0,2.42189e+11,7.85174e+10,below both roofs (kernel/launch),
qwen3-8b,8192,1,dflash draft,0.00774264,3.52188e+09,6.12558e+10,17.3929,454.868,7.91149,0.631932,0.0599936,,,,,,below both roofs (kernel/launch),3.13137
qwen3-8b,8192,2,baseline verify,0.031681,1.7592e+10,4.00883e+10,2.27878,555.286,1.26537,0.771439,0.00959546,1.51368e+10,2.45396e+09,0,3.02736e+10,9.81467e+09,HBM-bound,
qwen3-8b,8192,2,dflash verify,0.0375021,1.76146e+10,6.41413e+11,36.4136,469.698,17.1034,0.652535,0.129697,1.51368e+10,2.45839e+09,0,4.84378e+11,1.57035e+11,below both roofs (kernel/launch),
qwen3-8b,8192,2,dflash draft,0.00927706,3.70193e+09,1.23022e+11,33.2318,399.041,13.2609,0.554374,0.100558,,,,,,below both roofs (kernel/launch),4.14511
qwen3-8b,8192,4,baseline verify,0.03506,2.00472e+10,8.01766e+10,3.9994,571.797,2.28684,0.794377,0.0173414,1.51368e+10,4.90793e+09,0,6.05472e+10,1.96293e+10,HBM-bound,
qwen3-8b,8192,4,dflash verify,0.0450054,2.00925e+10,1.28283e+12,63.846,446.446,28.5038,0.620232,0.216147,1.51368e+10,4.91677e+09,0,9.68756e+11,3.14069e+11,below both roofs (kernel/launch),
qwen3-8b,8192,4,dflash draft,0.010422,4.06211e+09,2.47048e+11,60.8178,389.763,23.7045,0.541484,0.179754,,,,,,below both roofs (kernel/launch),5.14334
qwen3-8b,8192,8,baseline verify,0.0419725,2.49575e+10,1.60353e+11,6.42504,594.616,3.82043,0.826079,0.0289707,1.51368e+10,9.81585e+09,0,1.21094e+11,3.92587e+10,HBM-bound,
qwen3-8b,8192,8,dflash verify,0.0555928,2.50481e+10,2.56565e+12,102.429,450.565,46.1508,0.625954,0.349966,1.51368e+10,9.83355e+09,0,1.93751e+12,6.28139e+11,below both roofs (kernel/launch),
qwen3-8b,8192,8,dflash draft,0.0113569,4.78272e+09,4.96684e+11,103.85,421.128,43.734,0.585058,0.331639,,,,,,below both roofs (kernel/launch),6.42828
qwen3-8b,8192,16,baseline verify,0.0560285,3.47782e+10,3.20706e+11,9.22147,620.724,5.72398,0.86235,0.0434055,1.51368e+10,1.96317e+10,0,2.42189e+11,7.85174e+10,HBM-bound,
qwen3-8b,8192,16,dflash verify,0.105879,3.49595e+10,5.1313e+12,146.779,330.184,48.4639,0.458713,0.367507,1.51368e+10,1.96671e+10,0,3.87502e+12,1.25628e+12,below both roofs (kernel/launch),
qwen3-8b,8192,16,dflash draft,0.0191385,6.22474e+09,1.00086e+12,160.788,325.247,52.2957,0.451854,0.396564,,,,,,below both roofs (kernel/launch),8.2898
qwen3-8b,16384,1,baseline verify,0.0328444,1.75724e+10,2.4876e+10,1.41563,535.019,0.75739,0.743283,0.00574336,1.51368e+10,2.43494e+09,0,1.51368e+10,9.73917e+09,HBM-bound,
qwen3-8b,16384,1,dflash verify,0.042909,1.75837e+10,3.98016e+11,22.6355,409.79,9.27582,0.569308,0.0703395,1.51368e+10,2.43715e+09,0,2.42189e+11,1.55827e+11,below both roofs (kernel/launch),
qwen3-8b,16384,1,dflash draft,0.00795295,3.68963e+09,7.18664e+10,19.4779,463.932,9.03645,0.644525,0.0685243,,,,,,below both roofs (kernel/launch),2.62754
qwen3-8b,16384,2,baseline verify,0.0361817,2.00079e+10,4.9752e+10,2.48662,552.985,1.37506,0.768242,0.0104272,1.51368e+10,4.86988e+09,0,3.02736e+10,1.94783e+10,HBM-bound,
qwen3-8b,16384,2,dflash verify,0.0486447,2.00306e+10,7.96032e+11,39.7408,411.773,16.3642,0.572061,0.124091,1.51368e+10,4.87431e+09,0,4.84378e+11,3.11654e+11,below both roofs (kernel/launch),
qwen3-8b,16384,2,dflash draft,0.0121848,4.03741e+09,1.44137e+11,35.7003,331.349,11.8293,0.460332,0.0897025,,,,,,below both roofs (kernel/launch),3.43003
qwen3-8b,16384,4,baseline verify,0.0428803,2.4879e+10,9.95039e+10,3.99951,580.196,2.3205,0.806046,0.0175966,1.51368e+10,9.73976e+09,0,6.05472e+10,3.89567e+10,HBM-bound,
qwen3-8b,16384,4,dflash verify,0.0635398,2.49243e+10,1.59206e+12,63.8759,392.263,25.0562,0.544958,0.190003,1.51368e+10,9.74861e+09,0,9.68756e+11,6.23307e+11,below both roofs (kernel/launch),
qwen3-8b,16384,4,dflash draft,0.0140685,4.7331e+09,2.8942e+11,61.1482,336.433,20.5723,0.467395,0.156002,,,,,,below both roofs (kernel/launch),4.56934
qwen3-8b,16384,8,baseline verify,0.0568122,3.46212e+10,1.99008e+11,5.74815,609.397,3.50291,0.846614,0.0265629,1.51368e+10,1.94795e+10,0,1.21094e+11,7.79134e+10,HBM-bound,
qwen3-8b,16384,8,dflash verify,0.0832498,3.47118e+10,3.18413e+12,91.7303,416.96,38.2479,0.579268,0.290037,1.51368e+10,1.94972e+10,0,1.93751e+12,1.24661e+12,below both roofs (kernel/launch),
qwen3-8b,16384,8,dflash draft,0.0155983,6.12467e+09,5.81216e+11,94.8975,392.65,37.2614,0.545494,0.282557,,,,,,below both roofs (kernel/launch),5.74913
