model,context,batch,phase,seconds,bytes,flops,intensity,gbps,tflops,bw_fraction,compute_fraction,weight_bytes,kv_bytes,gdn_bytes,gemm_flops,attention_flops,verdict,draft_context_columns
qwen3.5-9b,4096,1,baseline verify,0.035135,1.61166e+10,1.65151e+10,1.02472,458.705,0.470047,0.637263,0.00356441,1.58734e+10,1.38445e+08,1.03809e+08,1.58734e+10,5.53648e+08,below both roofs (kernel/launch),
qwen3.5-9b,4096,1,dflash verify,0.0466446,1.6132e+10,2.64242e+11,16.38,345.85,5.665,0.480477,0.0429583,1.58734e+10,1.38936e+08,1.03809e+08,2.53974e+11,8.85837e+09,below both roofs (kernel/launch),
qwen3.5-9b,4096,1,dflash draft,0.0108946,4.73447e+09,7.55754e+10,15.9628,434.571,6.93696,0.603734,0.0526037,,,,,,below both roofs (kernel/launch),4.16064
qwen3.5-9b,4096,2,baseline verify,0.0343344,1.63599e+10,3.30302e+10,2.01898,476.485,0.962013,0.661965,0.00729504,1.58734e+10,2.7689e+08,2.07618e+08,3.17467e+10,1.1073e+09,below both roofs (kernel/launch),
qwen3.5-9b,4096,2,dflash verify,0.0467729,1.63906e+10,5.28483e+11,32.243,350.43,11.2989,0.48684,0.0856808,1.58734e+10,2.77873e+08,2.07618e+08,5.07948e+11,1.77167e+10,below both roofs (kernel/launch),
qwen3.5-9b,4096,2,dflash draft,0.011533,4.85109e+09,1.52253e+11,31.3854,420.627,13.2015,0.584362,0.100109,,,,,,below both roofs (kernel/launch),5.65431
qwen3.5-9b,4096,4,baseline verify,0.0335441,1.68464e+10,6.60604e+10,3.92135,502.216,1.96936,0.697711,0.0149339,1.58734e+10,5.53779e+08,4.15236e+08,6.34935e+10,2.21459e+09,below both roofs (kernel/launch),
qwen3.5-9b,4096,4,dflash verify,0.0467583,1.69079e+10,1.05697e+12,62.5131,361.603,22.6049,0.502362,0.171415,1.58734e+10,5.55745e+08,4.15236e+08,1.0159e+12,3.54335e+10,below both roofs (kernel/launch),
qwen3.5-9b,4096,4,dflash draft,0.011443,5.0845e+09,3.0653e+11,60.2872,444.334,26.7877,0.617297,0.203133,,,,,,below both roofs (kernel/launch),7.02475
qwen3.5-9b,4096,8,baseline verify,0.0339046,1.78193e+10,1.32121e+11,7.41446,525.573,3.89684,0.73016,0.0295501,1.58734e+10,1.10756e+09,8.30472e+08,1.26987e+11,4.42919e+09,HBM-bound,
qwen3.5-9b,4096,8,dflash verify,0.0477094,1.79425e+10,2.11393e+12,117.817,376.078,44.3085,0.522473,0.335996,1.58734e+10,1.11149e+09,8.30472e+08,2.03179e+12,7.0867e+10,below both roofs (kernel/launch),
qwen3.5-9b,4096,8,dflash draft,0.0137233,5.55201e+09,6.19024e+11,111.496,404.568,45.1075,0.562052,0.342055,,,,,,below both roofs (kernel/launch),9.04444
qwen3.5-9b,4096,16,baseline verify,0.038001,1.97653e+10,2.64242e+11,13.3689,520.126,6.95354,0.722593,0.0527294,1.58734e+10,2.21512e+09,1.66094e+09,2.53974e+11,8.85837e+09,HBM-bound,
qwen3.5-9b,4096,16,dflash verify,0.083225,2.00116e+10,4.22787e+12,211.271,240.452,50.8004,0.334051,0.385225,1.58734e+10,2.22298e+09,1.66094e+09,4.06358e+12,1.41734e+11,"past ridge, below compute roof",
qwen3.5-9b,4096,16,dflash draft,0.0217435,6.4872e+09,1.24499e+12,191.915,298.351,57.2579,0.414488,0.434192,,,,,,"past ridge, below compute roof",10.2197
qwen3.5-9b,4096,32,baseline verify,0.0463813,2.36573e+10,5.28483e+11,22.3391,510.06,11.3943,0.708609,0.0864042,1.58734e+10,4.43023e+09,3.32189e+09,5.07948e+11,1.77167e+10,HBM-bound,
qwen3.5-9b,4096,32,dflash verify,0.140644,2.41498e+10,8.45573e+12,350.137,171.708,60.1215,0.238549,0.455907,1.58734e+10,4.44596e+09,3.32189e+09,8.12717e+12,2.83468e+11,"past ridge, below compute roof",
qwen3.5-9b,4096,32,dflash draft,0.0374551,8.35997e+09,2.51032e+12,300.279,223.199,67.022,0.310083,0.508235,,,,,,"past ridge, below compute roof",11.9419
qwen3.5-9b,8192,1,baseline verify,0.0347541,1.62508e+10,1.7052e+10,1.0493,467.595,0.490646,0.649613,0.00372062,1.58734e+10,2.72663e+08,1.03809e+08,1.58734e+10,1.09052e+09,below both roofs (kernel/launch),
qwen3.5-9b,8192,1,dflash verify,0.0464679,1.62662e+10,2.72832e+11,16.7729,350.053,5.8714,0.486317,0.0445234,1.58734e+10,2.73154e+08,1.03809e+08,2.53974e+11,1.74483e+10,below both roofs (kernel/launch),
qwen3.5-9b,8192,1,dflash draft,0.0110696,4.75124e+09,7.6605e+10,16.1232,429.214,6.92029,0.596292,0.0524772,,,,,,below both roofs (kernel/launch),4.0409
qwen3.5-9b,8192,2,baseline verify,0.0339956,1.66283e+10,3.41039e+10,2.05096,489.13,1.00319,0.679532,0.00760726,1.58734e+10,5.45325e+08,2.07618e+08,3.17467e+10,2.18104e+09,below both roofs (kernel/launch),
qwen3.5-9b,8192,2,dflash verify,0.0460297,1.66591e+10,5.45663e+11,32.7547,361.92,11.8546,0.502803,0.0898945,1.58734e+10,5.46308e+08,2.07618e+08,5.07948e+11,3.48966e+10,below both roofs (kernel/launch),
qwen3.5-9b,8192,2,dflash draft,0.0115588,4.88458e+09,1.5404e+11,31.5361,422.586,13.3267,0.587084,0.101058,,,,,,below both roofs (kernel/launch),5.16598
qwen3.5-9b,8192,4,baseline verify,0.0332884,1.73832e+10,6.82079e+10,3.92377,522.2,2.049,0.725475,0.0155378,1.58734e+10,1.09065e+09,4.15236e+08,6.34935e+10,4.36208e+09,HBM-bound,
qwen3.5-9b,8192,4,dflash verify,0.0459886,1.74448e+10,1.09133e+12,62.5588,379.329,23.7304,0.526988,0.17995,1.58734e+10,1.09262e+09,4.15236e+08,1.0159e+12,6.97932e+10,below both roofs (kernel/launch),
qwen3.5-9b,8192,4,dflash draft,0.0124444,5.15151e+09,3.10268e+11,60.2286,413.963,24.9324,0.575104,0.189065,,,,,,below both roofs (kernel/launch),6.64732
qwen3.5-9b,8192,8,baseline verify,0.0357281,1.88931e+10,1.36416e+11,7.22041,528.803,3.81817,0.734647,0.0289536,1.58734e+10,2.1813e+09,8.30472e+08,1.26987e+11,8.72415e+09,HBM-bound,
qwen3.5-9b,8192,8,dflash verify,0.0503779,1.90162e+10,2.18265e+12,114.778,377.471,43.3256,0.524407,0.328542,1.58734e+10,2.18523e+09,8.30472e+08,2.03179e+12,1.39586e+11,below both roofs (kernel/launch),
qwen3.5-9b,8192,8,dflash draft,0.0154168,5.68541e+09,6.22995e+11,109.578,368.779,40.4101,0.512332,0.306434,,,,,,below both roofs (kernel/launch),7.48021
qwen3.5-9b,8192,16,baseline verify,0.0409976,2.19128e+10,2.72832e+11,12.4508,534.49,6.65482,0.742549,0.0504642,1.58734e+10,4.3626e+09,1.66094e+09,2.53974e+11,1.74483e+10,HBM-bound,
qwen3.5-9b,8192,16,dflash verify,0.0896662,2.21591e+10,4.3653e+12,196.999,247.128,48.6839,0.343327,0.369175,1.58734e+10,4.37046e+09,1.66094e+09,4.06358e+12,2.79173e+11,"past ridge, below compute roof",
qwen3.5-9b,8192,16,dflash draft,0.0252532,6.75392e+09,1.25252e+12,185.451,267.448,49.5986,0.371556,0.376111,,,,,,"past ridge, below compute roof",8.58636
qwen3.5-9b,8192,32,baseline verify,0.0514371,2.79522e+10,5.45663e+11,19.5213,543.426,10.6084,0.754962,0.0804442,1.58734e+10,8.7252e+09,3.32189e+09,5.07948e+11,3.48966e+10,HBM-bound,
qwen3.5-9b,8192,32,dflash verify,0.150804,2.84447e+10,8.73061e+12,306.932,188.621,57.8937,0.262044,0.439014,1.58734e+10,8.74093e+09,3.32189e+09,8.12717e+12,5.58346e+11,"past ridge, below compute roof",
qwen3.5-9b,8192,32,dflash draft,0.0440642,8.89297e+09,2.5229e+12,283.696,201.819,57.2552,0.28038,0.434172,,,,,,"past ridge, below compute roof",10.0982
qwen3.5-9b,16384,1,baseline verify,0.0355587,1.65193e+10,1.81257e+10,1.09725,464.564,0.509741,0.645402,0.00386542,1.58734e+10,5.41098e+08,1.03809e+08,1.58734e+10,2.16426e+09,below both roofs (kernel/launch),
qwen3.5-9b,16384,1,dflash verify,0.0490105,1.65347e+10,2.90011e+11,17.5396,337.37,5.91733,0.468696,0.0448717,1.58734e+10,5.4159e+08,1.03809e+08,2.53974e+11,3.46282e+10,below both roofs (kernel/launch),
qwen3.5-9b,16384,1,dflash draft,0.0102312,4.7848e+09,7.87506e+10,16.4585,467.666,7.69708,0.649712,0.0583678,,,,,,below both roofs (kernel/launch),4.03575
qwen3.5-9b,16384,2,baseline verify,0.0351474,1.71652e+10,3.62514e+10,2.11192,488.377,1.03141,0.678485,0.0078213,1.58734e+10,1.0822e+09,2.07618e+08,3.17467e+10,4.32852e+09,below both roofs (kernel/launch),
qwen3.5-9b,16384,2,dflash verify,0.0477662,1.7196e+10,5.80023e+11,33.7302,360.002,12.1429,0.500139,0.0920812,1.58734e+10,1.08318e+09,2.07618e+08,5.07948e+11,6.92563e+10,below both roofs (kernel/launch),
qwen3.5-9b,16384,2,dflash draft,0.0111177,4.95171e+09,1.58461e+11,32.0013,445.388,14.253,0.618762,0.108082,,,,,,below both roofs (kernel/launch),5.3365
qwen3.5-9b,16384,4,baseline verify,0.034253,1.8457e+10,7.25028e+10,3.92821,538.842,2.11669,0.748595,0.016051,1.58734e+10,2.16439e+09,4.15236e+08,6.34935e+10,8.65704e+09,HBM-bound,
qwen3.5-9b,16384,4,dflash verify,0.0474135,1.85185e+10,1.16005e+12,62.6424,390.575,24.4666,0.542613,0.185533,1.58734e+10,2.16636e+09,4.15236e+08,1.0159e+12,1.38513e+11,below both roofs (kernel/launch),
qwen3.5-9b,16384,4,dflash draft,0.0125157,5.28575e+09,3.18975e+11,60.3462,422.329,25.4859,0.586727,0.193263,,,,,,below both roofs (kernel/launch),6.72643
qwen3.5-9b,16384,8,baseline verify,0.0364529,2.10406e+10,1.45006e+11,6.89172,577.199,3.97789,0.801882,0.0301648,1.58734e+10,4.32878e+09,8.30472e+08,1.26987e+11,1.73141e+10,HBM-bound,
qwen3.5-9b,16384,8,dflash verify,0.0517688,2.11637e+10,2.32009e+12,109.626,408.811,44.8164,0.567948,0.339847,1.58734e+10,4.33272e+09,8.30472e+08,2.03179e+12,2.77025e+11,below both roofs (kernel/launch),
qwen3.5-9b,16384,8,dflash draft,0.0154095,5.95417e+09,6.42003e+11,107.824,386.396,41.6628,0.536806,0.315933,,,,,,below both roofs (kernel/launch),8.09915
qwen3.5-9b,16384,16,baseline verify,0.0435363,2.62078e+10,2.90011e+11,11.0659,601.975,6.66137,0.836303,0.0505139,1.58734e+10,8.65757e+09,1.66094e+09,2.53974e+11,3.46282e+10,HBM-bound,
qwen3.5-9b,16384,16,dflash verify,0.0991265,2.6454e+10,4.64018e+12,175.406,266.871,46.8107,0.370755,0.35497,1.58734e+10,8.66543e+09,1.66094e+09,4.06358e+12,5.54051e+11,below both roofs (kernel/launch),
qwen3.5-9b,16384,16,dflash draft,0.0253915,7.29129e+09,1.28969e+12,176.88,287.155,50.792,0.398934,0.385161,,,,,,below both roofs (kernel/launch),9.06091
qwen3.5-9b,16384,32,baseline verify,0.0597247,3.65422e+10,5.80023e+11,15.8727,611.844,9.7116,0.850013,0.0736441,1.58734e+10,1.73151e+10,3.32189e+09,5.07948e+11,6.92563e+10,HBM-bound,
