model,context,batch,mode,status,decode_tok_s_makespan,decode_tok_s_full_occupancy,full_occupancy_fraction,e2e_tok_s,step_ms,tokens_per_step,verify_ms,draft_ms,accept_ms,ctx_ms,cpu_and_sync_ms,peak_gib,peak_phase,target_kv_gib,draft_kv_gib,gdn_state_gib,tau,tau_pre_eos,tau_post_eos,speedup_same_b_makespan,speedup_same_b_full_occupancy,speedup_same_b_e2e
qwen3-8b,4096,1,baseline,ok,34.0171,34.0171,1,31.285,29.397,1,29.263,0,0.106632,0,0.0273334,18.2267,prefill: target forward,0.599854,0,0,,,,,,
qwen3-8b,4096,1,dflash,ok,84.6913,84.6913,1,68.8304,40.0457,3.39152,31.9313,7.8466,0.143034,0.0983234,0.0264441,18.4691,prefill: target forward,0.602051,0.0839424,0,3.45137,3.02281,3.78434,2.48967,2.48967,2.20011
qwen3-8b,4096,2,baseline,ok,66.2328,66.2328,1,56.3507,30.1965,2,30.055,0,0.108765,0,0.0327791,18.8265,prefill: target forward,1.19971,0,0,,,,,,
qwen3-8b,4096,2,dflash,ok,140.902,158.085,0.763618,101.502,42.3338,5.96491,33.7869,8.24523,0.175881,0.0973051,0.028532,19.1551,prefill: target forward,1.2041,0.167885,0,3.43455,3,3.77417,2.12737,2.3868,1.80126
qwen3-8b,4096,4,baseline,ok,125.106,125.106,1,93.765,31.9729,4,31.8286,0,0.111586,0,0.0327389,20.0262,prefill: target forward,2.39941,0,0,,,,,,
qwen3-8b,4096,4,dflash,ok,225.034,277.095,0.592768,138.768,47.2766,10.6389,37.8467,9.02962,0.245546,0.127952,0.0267087,20.527,prefill: target forward,2.4082,0.33577,0,3.43284,2.97664,3.79657,1.79875,2.21488,1.47996
qwen3-8b,4096,8,baseline,ok,224.622,224.622,1,140.04,35.6154,8,35.4612,0,0.117651,0,0.0366004,22.4257,prefill: target forward,4.79883,0,0,,,,,,
qwen3-8b,4096,8,dflash,ok,362.915,464.211,0.528761,181.015,55.9318,20.2985,45.4819,9.91562,0.379546,0.124126,0.0306839,23.271,prefill: target forward,4.81641,0.671539,0,3.43942,3.03048,3.75515,1.61567,2.06663,1.29259
qwen3-8b,4096,16,baseline,ok,370.341,370.341,1,185.202,43.2034,16,43.024,0,0.137059,0,0.0423422,27.2245,prefill: target forward,9.59766,0,0,,,,,,
qwen3-8b,4096,16,dflash,ok,388.096,487.326,0.462701,186.952,101.573,39.4203,84.6652,16.1003,0.643057,0.127026,0.0378922,28.759,prefill: target forward,9.63281,1.34308,0,3.43457,3.01328,3.76275,1.04794,1.31588,1.00944
qwen3-8b,4096,32,baseline,ok,503.096,503.096,1,213.297,63.6061,32,63.378,0,0.178529,0,0.0495332,36.8221,prefill: target forward,19.1953,0,0,,,,,,
qwen3-8b,4096,32,dflash,ok,427.388,558.315,0.38181,195.624,170.471,72.8571,142.035,27.1395,1.09471,0.152015,0.0497042,39.7349,prefill: target forward,19.2656,2.68616,0,3.44108,3.03839,3.74781,0.849516,1.10976,0.917142
qwen3-8b,8192,1,baseline,ok,33.5222,33.5222,1,28.303,29.831,1,29.6961,0,0.107457,0,0.0274348,19.1984,prefill: target forward,1.16235,0,0,,,,,,
qwen3-8b,8192,1,dflash,ok,70.9599,70.9599,1,50.5452,43.4105,3.08041,35.4005,7.74264,0.143607,0.0976267,0.0261841,19.6752,prefill: target forward,1.16455,0.162067,0,3.13137,2.94922,3.30168,2.1168,2.1168,1.78586
qwen3-8b,8192,2,baseline,ok,62.8463,62.8463,1,46.5664,31.8237,2,31.681,0,0.110184,0,0.0325216,20.3607,prefill: target forward,2.32471,0,0,,,,,,
