model,context,batch,mode,status,decode_tok_s_makespan,decode_tok_s_full_occupancy,full_occupancy_fraction,e2e_tok_s,step_ms,tokens_per_step,verify_ms,draft_ms,accept_ms,ctx_ms,cpu_and_sync_ms,peak_gib,peak_phase,target_kv_gib,draft_kv_gib,gdn_state_gib,tau,tau_pre_eos,tau_post_eos,speedup_same_b_makespan,speedup_same_b_full_occupancy,speedup_same_b_e2e
qwen3.5-9b,4096,1,baseline,ok,27.1346,27.1346,1,25.348,36.8533,1,35.135,0,1.70084,0,0.0174709,19.8272,prefill: target forward,0.133301,0,0.0483398,,,,,,
qwen3.5-9b,4096,1,dflash,ok,53.3575,53.3575,1,46.4659,76.7724,4.09639,46.6446,10.8946,19.3855,0.114171,-0.266406,20.1472,prefill: target forward,0.133789,0.100731,0.0483398,4.16064,3.71919,4.48519,1.9664,1.9664,1.83312
qwen3.5-9b,4096,2,baseline,ok,55.1833,55.1833,1,47.8474,36.2429,2,34.3344,0,1.90794,0,0.000481145,20.0089,prefill: target forward,0.266602,0,0.0966797,,,,,,
qwen3.5-9b,4096,2,dflash,ok,96.6278,109.407,0.792388,75.475,78.2648,7.56256,46.7729,11.533,20.0937,0.118546,-0.253426,20.4301,prefill: target forward,0.267578,0.201462,0.0966797,4.277,3.81121,4.62029,1.75103,1.98261,1.57741
qwen3.5-9b,4096,4,baseline,ok,110.269,110.269,1,84.2206,36.2749,4,33.5441,0,2.73264,0,-0.00180151,20.3721,prefill: target forward,0.533203,0,0.193359,,,,,,
qwen3.5-9b,4096,4,dflash,ok,172.727,219.378,0.63924,114.804,77.9573,13.4653,46.7583,11.443,19.8357,0.144424,-0.224068,20.9958,prefill: target forward,0.535156,0.402924,0.193359,4.28601,3.8034,4.64331,1.56642,1.98948,1.36313
qwen3.5-9b,4096,8,baseline,ok,210.551,210.551,1,131.948,37.9955,8,33.9046,0,4.09802,0,-0.00715405,21.0987,prefill: target forward,1.06641,0,0.386719,,,,,,
qwen3.5-9b,4096,8,dflash,ok,318.006,417.583,0.518892,164.612,81.46,25.9048,47.7094,13.7233,20.0863,0.142999,-0.201976,22.1272,prefill: target forward,1.07031,0.805847,0.386719,4.32688,3.79462,4.72486,1.51035,1.98328,1.24755
qwen3.5-9b,4096,16,baseline,ok,355.658,355.658,1,176.011,44.987,16,38.001,0,7.00539,0,-0.0194342,22.8104,decode: accept/rollback,2.13281,0,0.773438,,,,,,
qwen3.5-9b,4096,16,dflash,ok,375.986,538.798,0.455467,178.725,125.45,47.1676,83.225,21.7435,20.4953,0.156444,-0.169888,24.9756,decode: accept/rollback,2.14062,1.61169,0.773438,4.21291,3.70357,4.5922,1.05716,1.51493,1.01542
qwen3.5-9b,4096,32,baseline,ok,543.762,543.762,1,212.248,58.8493,32,46.3813,0,12.5076,0,-0.0396497,26.5276,decode: accept/rollback,4.26562,0,1.54688,,,,,,
qwen3.5-9b,4096,32,dflash,ok,471.605,656.105,0.456823,196.976,201.193,94.8837,140.644,37.4551,23.1961,0.106713,-0.209023,30.8581,decode: accept/rollback,4.28125,3.22339,1.54688,4.20233,3.72361,4.55979,0.867301,1.2066,0.928048
qwen3.5-9b,8192,1,baseline,ok,27.4475,27.4475,1,23.8539,36.4333,1,34.7541,0,1.66169,0,0.0174828,20.5038,prefill: target forward,0.258301,0,0.0483398,,,,,,
qwen3.5-9b,8192,1,dflash,ok,51.58,51.58,1,39.8711,77.0209,3.97274,46.4679,11.0696,19.632,0.118689,-0.267204,21.1362,prefill: target forward,0.258789,0.194481,0.0483398,4.0409,3.55674,4.31877,1.87923,1.87923,1.67147
qwen3.5-9b,8192,2,baseline,ok,55.7481,55.7481,1,42.5842,35.8757,2,33.9956,0,1.87913,0,0.000913393,20.8104,prefill: target forward,0.516602,0,0.0966797,,,,,,
qwen3.5-9b,8192,2,dflash,ok,86.4891,106.693,0.688242,57.7541,77.5244,6.70501,46.0297,11.5588,20.0411,0.117879,-0.223084,21.6379,prefill: target forward,0.517578,0.388962,0.0966797,4.02918,3.61957,4.25758,1.55143,1.91385,1.35623
qwen3.5-9b,8192,4,baseline,ok,111.184,111.184,1,68.5345,35.9765,4,33.2884,0,2.69042,0,-0.00233438,21.4237,prefill: target forward,1.0332,0,0.193359,,,,,,
qwen3.5-9b,8192,4,dflash,ok,154.641,216.436,0.526934,81.4238,78.5229,12.1429,45.9886,12.4444,20.1487,0.141523,-0.200258,22.6411,prefill: target forward,1.03516,0.777924,0.193359,4.08764,3.76371,4.26212,1.39086,1.94666,1.18807
qwen3.5-9b,8192,8,baseline,ok,200.994,200.994,1,94.3198,39.8023,8,35.7281,0,4.08044,0,-0.00624334,22.6503,prefill: target forward,2.06641,0,0.386719,,,,,,
qwen3.5-9b,8192,8,dflash,ok,249.685,388.028,0.457607,101.365,86.2299,21.5303,50.3779,15.4168,20.4543,0.146182,-0.165379,24.6475,prefill: target forward,2.07031,1.55585,0.386719,4.02432,3.62726,4.23785,1.24226,1.93055,1.0747
qwen3.5-9b,8192,16,baseline,ok,333.704,333.704,1,115.054,47.9467,16,40.9976,0,6.96888,0,-0.0197092,25.1034,prefill: target forward,4.13281,0,0.773438,,,,,,
qwen3.5-9b,8192,16,dflash,ok,273.511,503.255,0.336014,104.79,135.61,37.0909,89.6662,25.2532,20.665,0.15354,-0.127678,28.6604,prefill: target forward,4.14062,3.11169,0.773438,4.03653,3.67263,4.23605,0.819622,1.50809,0.910792
qwen3.5-9b,8192,32,baseline,ok,500.854,500.854,1,129.365,63.8909,32,51.4371,0,12.4938,0,-0.0399501,30.5296,decode: accept/rollback,8.26562,0,1.54688,,,,,,
qwen3.5-9b,8192,32,dflash,ok,334.361,612.245,0.268511,112.857,217.899,72.8571,150.804,44.0642,23.0828,0.107932,-0.159517,37.906,decode: accept/rollback,8.28125,6.22339,1.54688,4.01309,3.61224,4.23494,0.667583,1.2224,0.872397
qwen3.5-9b,16384,1,baseline,ok,26.8803,26.8803,1,20.6606,37.2019,1,35.5587,0,1.62272,0,0.0205103,21.8569,prefill: target forward,0.508301,0,0.0483398,,,,,,
qwen3.5-9b,16384,1,dflash,ok,50.6348,50.6348,1,32.0486,78.9197,3.99608,49.0105,10.2312,19.8396,0.118566,-0.280204,23.1143,prefill: target forward,0.508789,0.381981,0.0483398,4.03575,3.97083,4.09335,1.88371,1.88371,1.55119
qwen3.5-9b,16384,2,baseline,ok,54.2953,54.2953,1,33.7441,36.8356,2,35.1474,0,1.69266,0,-0.00445286,22.4135,prefill: target forward,1.0166,0,0.0966797,,,,,,
qwen3.5-9b,16384,2,dflash,ok,89.1608,104.155,0.744417,43.802,78.9647,7.04055,47.7662,11.1177,20.2106,0.116611,-0.246534,24.0534,prefill: target forward,1.01758,0.763962,0.0966797,4.08947,4.09315,4.08632,1.64215,1.91831,1.29806
qwen3.5-9b,16384,4,baseline,ok,108.755,108.755,1,48.7624,36.7798,4,34.253,0,2.53464,0,-0.0078458,23.5268,prefill: target forward,2.0332,0,0.193359,,,,,,
qwen3.5-9b,16384,4,dflash,ok,157.232,205.263,0.601819,55.5743,80.2131,12.6121,47.4135,12.5157,20.3556,0.144024,-0.215768,25.9317,prefill: target forward,2.03516,1.52792,0.193359,4.07681,4.03069,4.11694,1.44574,1.88738,1.1397
qwen3.5-9b,16384,8,baseline,ok,198.057,198.057,1,61.0797,40.3925,8,36.4529,0,3.95288,0,-0.0132728,25.7533,prefill: target forward,4.06641,0,0.386719,,,,,,
qwen3.5-9b,16384,8,dflash,ok,263.596,370.717,0.456776,64.7636,87.6954,23.1161,51.7688,15.4095,20.5711,0.134588,-0.18859,29.6881,prefill: target forward,4.07031,3.05585,0.386719,4.03521,3.97713,4.0868,1.33091,1.87177,1.06031
qwen3.5-9b,16384,16,baseline,ok,318.322,318.322,1,69.0887,50.2636,16,43.5363,0,6.75137,0,-0.0240309,30.2065,prefill: target forward,8.13281,0,0.773438,,,,,,
qwen3.5-9b,16384,16,dflash,ok,282.023,442.873,0.34119,66.1756,146.872,41.4213,99.1265,25.3915,22.3549,0.154991,-0.155907,37.201,prefill: target forward,8.14062,6.11169,0.773438,4.08978,4.09442,4.08579,0.88597,1.39127,0.957836
qwen3.5-9b,16384,32,baseline,ok,444.187,444.187,1,73.344,72.0418,32,59.7247,0,12.3632,0,-0.0461183,39.1127,prefill: target forward,16.2656,0,1.54688,,,,,,
qwen3.5-9b,16384,32,dflash,oom,,,,,,,,,,,,,,,,,,,,,,
qwen3.5-9b,32768,1,baseline,ok,27.3428,27.3428,1,16.4302,36.5727,1,34.9086,0,1.64489,0,0.0191977,24.563,prefill: target forward,1.0083,0,0.0483398,,,,,,
qwen3.5-9b,32768,1,dflash,ok,46.0635,46.0635,1,21.6172,78.5922,3.62023,48.7927,10.2626,19.6697,0.117688,-0.250502,27.0705,prefill: target forward,1.00879,0.756981,0.0483398,3.66637,3.03061,3.69527,1.68467,1.68467,1.3157
qwen3.5-9b,32768,2,baseline,ok,54.4074,54.4074,1,23.5848,36.7597,2,35.0548,0,1.70934,0,-0.00447237,25.6197,prefill: target forward,2.0166,0,0.0966797,,,,,,
qwen3.5-9b,32768,2,dflash,ok,83.6981,96.0677,0.78369,27.1113,78.6871,6.58596,46.8906,11.8747,20.0333,0.11726,-0.228823,28.8846,prefill: target forward,2.01758,1.51396,0.0966797,3.74175,3.09184,3.77189,1.53836,1.76571,1.14952
qwen3.5-9b,32768,4,baseline,ok,104.078,104.078,1,29.603,38.4327,4,35.8826,0,2.55807,0,-0.00790508,27.733,prefill: target forward,4.0332,0,0.193359,,,,,,
qwen3.5-9b,32768,4,dflash,ok,145.749,191.653,0.571665,31.5178,79.9812,11.6571,46.2599,13.6328,20.1415,0.14241,-0.195391,32.5128,prefill: target forward,4.03516,3.02792,0.193359,3.68,3.09783,3.70482,1.40038,1.84144,1.06468
qwen3.5-9b,32768,8,baseline,ok,173.114,173.114,1,33.3344,46.2123,8,42.2546,0,3.97096,0,-0.0133256,31.9595,prefill: target forward,8.06641,0,0.386719,,,,,,
qwen3.5-9b,32768,8,dflash,ok,223.668,300.857,0.487061,33.9112,100.781,22.5414,63.8428,16.6517,20.3317,0.137134,-0.182598,39.7693,prefill: target forward,8.07031,6.05585,0.386719,3.67244,3.08163,3.6993,1.29203,1.73791,1.0173
qwen3.5-9b,32768,16,baseline,ok,258.666,258.666,1,35.5961,61.8557,16,55.1146,0,6.76498,0,-0.0238305,40.4126,prefill: target forward,16.1328,0,0.773438,,,,,,
qwen3.5-9b,32768,16,dflash,oom,,,,,,,,,,,,,,,,,,,,,,
