model,context,batch,q,wall_ms,kernel_total_ms,gpu_idle_ms,module_attention block,module_mlp,module_lm_head,kernel_elementwise/other,kernel_copy/index,kernel_gemm,kernel_attention,module_gdn
qwen3-8b,4096,1,1,29.3229,26.919,2.40392,10.1365,17.9573,1.67424,2.40556,1.17135,22.0255,1.31658,
qwen3-8b,4096,1,16,35.3878,31.1908,4.19698,16.0284,18.9329,1.70218,3.2101,1.56785,22.7868,3.62605,
qwen3-8b,4096,4,1,35.1497,30.1719,4.97775,17.2641,17.6207,1.69106,2.75622,1.40847,22.3287,3.67857,
qwen3-8b,4096,4,16,41.4746,36.4487,5.02596,18.3676,18.6554,1.7519,3.76011,1.67693,24.2613,6.75031,
qwen3-8b,4096,16,1,44.7388,41.3817,3.35702,23.4125,17.824,1.70339,3.14305,1.82101,22.7925,13.6251,
qwen3-8b,4096,16,16,86.1383,79.9865,6.15178,40.9992,37.6033,2.46012,8.0842,3.71099,48.0992,20.0922,
qwen3-8b,32768,1,1,36.037,32.8035,3.23349,20.8016,17.3721,1.67084,2.43929,1.25682,22.0535,7.05384,
qwen3-8b,32768,1,16,58.9883,55.5855,3.40278,37.7221,17.8972,1.70323,3.24903,1.66295,22.8286,27.8449,
qwen3-8b,32768,4,1,55.087,52.7623,2.32466,35.3871,16.8623,1.68555,2.72157,1.46576,22.3178,26.2572,
qwen3-8b,32768,4,16,93.2597,86.5779,6.68184,68.0389,19.0538,1.74998,4.05284,1.85541,24.6216,56.0481,
qwen3.5-9b,4096,1,1,35.8954,28.4366,7.45879,3.46525,15.3552,2.72159,3.4625,1.48691,23.1649,0.322272,14.6086
qwen3.5-9b,4096,1,16,89.0205,36.891,52.1295,6.02881,16.0122,2.7642,6.89657,4.0259,24.5173,1.45118,63.4651
qwen3.5-9b,4096,4,1,42.973,33.3139,9.65913,4.97729,15.3642,2.73576,6.67858,1.55308,24.2496,0.832642,19.6437
qwen3.5-9b,4096,4,16,90.3588,42.4251,47.9338,5.89926,17.0267,2.83891,9.36284,4.57371,27.0224,1.46614,63.8373
qwen3.5-9b,4096,16,1,47.8052,46.4531,1.35203,5.87763,14.678,2.76382,18.0347,1.79713,23.637,2.98429,23.7332
qwen3.5-9b,4096,16,16,95.7869,91.4989,4.28792,10.6563,32.1442,3.86336,22.4241,9.00204,53.9589,6.11383,45.2649
qwen3.5-9b,32768,1,1,43.7449,29.6618,14.0832,6.12129,15.5491,2.72216,3.43441,1.47351,23.1424,1.61142,20.1327
qwen3.5-9b,32768,1,16,90.3473,46.6296,43.7176,15.7581,15.633,2.76691,6.89828,4.03512,24.4965,11.1997,54.7085
qwen3.5-9b,32768,4,1,42.9545,38.2485,4.70601,10.2767,15.1116,2.73585,6.6435,1.53567,24.2253,5.84407,17.7984
qwen3.5-9b,32768,4,16,88.9061,52.056,36.8502,15.6885,16.6221,2.84104,9.28441,4.53128,26.9249,11.3154,54.2337
qwen3.5-9b,32768,8,1,49.4409,48.0812,1.35972,14.0625,14.3696,2.74724,10.5465,1.61586,24.3136,11.6053,16.6642
qwen3.5-9b,32768,8,16,89.7857,70.9743,18.8114,26.0887,17.5715,2.898,12.9363,6.13566,30.241,21.6614,43.7188
