model,context_length,mode,num_devices,phase,phase_index,is_peak_phase,mean_occurrences_per_sample,peak_interval_label,mean_interval_peak_gb,max_interval_peak_gb,peak_allocated_before_gb,peak_allocated_after_gb,peak_transient_gb,peak_unattributed_gb,target_weight_gb,target_kv_gb,draft_weight_gb,draft_kv_gb,selected_hidden_gb,context_feature_gb
qwen3-8b,4096,dflash,1,prefill: target forward,0,True,1,target layer 35,18.3447,18.3447,17.2178,17.9368,0.4079,0.4163,15.2564,0.5625,1.9532,0.0,0.1562,0.0
qwen3-8b,4096,dflash,1,prefill: context-feature build,1,False,1,prefill: context-feature build,18.0931,18.0931,17.9368,17.9368,0.1562,0.3209,15.2564,0.5625,1.9532,0.0,0.0,0.0
qwen3-8b,4096,dflash,1,prefill: first token,2,False,1,prefill: first token,17.9368,17.9368,17.9368,17.9368,0.0,0.1647,15.2564,0.5625,1.9532,0.0,0.0,0.0
qwen3-8b,4096,dflash,1,prefill: context-feature concat,3,False,1,prefill: context-feature concat,17.9368,17.9368,17.9368,17.9368,0.0,0.0084,15.2564,0.5625,1.9532,0.0,0.0,0.1562
qwen3-8b,4096,dflash,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,17.9368,17.9368,17.9368,17.9368,0.0,0.0084,15.2564,0.5625,1.9532,0.0,0.0,0.1562
qwen3-8b,4096,dflash,1,decode: first draft forward,5,False,1,decode: first draft forward,18.0962,18.0962,17.9368,18.0155,0.0808,0.0894,15.2564,0.5625,1.9532,0.0784,0.0,0.1562
qwen3-8b,4096,dflash,1,decode: draft forward,6,False,61.517,decode: draft forward,17.8941,17.9579,17.9486,17.9486,0.0093,0.0264,15.2564,0.6327,1.9532,0.0879,0.0006,0.0006
qwen3-8b,4096,dflash,1,decode: draft rollback/crop,7,False,56.75,decode: draft rollback/crop,17.9219,18.0155,18.0155,18.0155,0.0,0.0086,15.2564,0.5625,1.9532,0.0784,0.0,0.1562
qwen3-8b,4096,dflash,1,decode: draft logits,8,False,56.75,decode: draft logits,17.9304,18.024,18.0155,18.0197,0.0042,0.0171,15.2564,0.5625,1.9532,0.0784,0.0,0.1562
qwen3-8b,4096,dflash,1,decode: target verify,9,False,56.75,decode: target verify,17.9893,18.0861,18.0197,18.0268,0.0593,0.0764,15.2564,0.5647,1.9532,0.0784,0.0006,0.1562
qwen3-8b,4096,dflash,1,decode: verify rollback/crop,10,False,56.75,decode: verify rollback/crop,17.9251,18.0268,18.0268,18.0268,0.0,0.0171,15.2564,0.5647,1.9532,0.0784,0.0006,0.1562
qwen3-8b,4096,dflash,1,decode: context-feature build,11,False,56.75,decode: context-feature build,17.9257,18.0274,18.0268,17.8711,0.0006,0.1734,15.2564,0.5647,1.9532,0.0784,0.0006,0.0006
qwen3-8b,4096,baseline,1,prefill: target forward,0,True,1,target layer 35,18.1885,18.1885,17.2178,17.7806,0.4079,0.4163,15.2564,0.5625,1.9532,0.0,0.0,0.0
qwen3-8b,4096,baseline,1,prefill: first token,2,False,1,prefill: first token,17.7806,17.7806,17.7806,17.7806,0.0,0.0084,15.2564,0.5625,1.9532,0.0,0.0,0.0
qwen3-8b,4096,baseline,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,17.7806,17.7806,17.7806,17.7806,0.0,0.0084,15.2564,0.5625,1.9532,0.0,0.0,0.0
qwen3-8b,4096,baseline,1,decode: target verify,9,False,175.25,decode: target verify,17.8007,17.8596,17.8506,17.8507,0.0088,0.0172,15.2564,0.6327,1.9532,0.0,0.0,0.0
qwen3-8b,4096,baseline,1,decode: verify rollback/crop,10,False,175.25,decode: verify rollback/crop,17.7927,17.8507,17.8507,17.8507,0.0,0.0084,15.2564,0.6327,1.9532,0.0,0.0,0.0
qwen3-8b,8192,dflash,1,prefill: target forward,0,True,1,target layer 35,19.4718,19.4718,17.2179,18.6557,0.8161,0.8247,15.2564,1.125,1.9532,0.0,0.3125,0.0
qwen3-8b,8192,dflash,1,prefill: context-feature build,1,False,1,prefill: context-feature build,18.9682,18.9682,18.6557,18.6557,0.3125,0.6336,15.2564,1.125,1.9532,0.0,0.0,0.0
qwen3-8b,8192,dflash,1,prefill: first token,2,False,1,prefill: first token,18.6557,18.6557,18.6557,18.6557,0.0,0.3211,15.2564,1.125,1.9532,0.0,0.0,0.0
qwen3-8b,8192,dflash,1,prefill: context-feature concat,3,False,1,prefill: context-feature concat,18.6557,18.6557,18.6557,18.6557,0.0,0.0086,15.2564,1.125,1.9532,0.0,0.0,0.3125
qwen3-8b,8192,dflash,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,18.6557,18.6557,18.6557,18.6557,0.0,0.0086,15.2564,1.125,1.9532,0.0,0.0,0.3125
qwen3-8b,8192,dflash,1,decode: first draft forward,5,False,1,decode: first draft forward,18.9736,18.9736,18.6557,18.8125,0.1611,0.1699,15.2564,1.125,1.9532,0.1566,0.0,0.3125
qwen3-8b,8192,dflash,1,decode: draft forward,6,False,66.286,decode: draft forward,18.5431,18.6065,18.5895,18.5895,0.0171,0.0343,15.2564,1.1953,1.9532,0.166,0.0006,0.0006
qwen3-8b,8192,dflash,1,decode: draft rollback/crop,7,False,59,decode: draft rollback/crop,18.6005,18.8125,18.8125,18.8125,0.0,0.0088,15.2564,1.125,1.9532,0.1566,0.0,0.3125
qwen3-8b,8192,dflash,1,decode: draft logits,8,False,59,decode: draft logits,18.6089,18.821,18.8125,18.8168,0.0042,0.0173,15.2564,1.125,1.9532,0.1566,0.0,0.3125
qwen3-8b,8192,dflash,1,decode: target verify,9,False,59,decode: target verify,18.7306,18.9458,18.8168,18.8238,0.122,0.1393,15.2564,1.1272,1.9532,0.1566,0.0006,0.3125
qwen3-8b,8192,dflash,1,decode: verify rollback/crop,10,False,59,decode: verify rollback/crop,18.6036,18.8238,18.8238,18.8238,0.0,0.0173,15.2564,1.1272,1.9532,0.1566,0.0006,0.3125
qwen3-8b,8192,dflash,1,decode: context-feature build,11,False,59,decode: context-feature build,18.6042,18.8244,18.8238,18.5119,0.0006,0.3298,15.2564,1.1272,1.9532,0.1566,0.0006,0.0006
qwen3-8b,8192,baseline,1,prefill: target forward,0,True,1,target layer 35,19.1593,19.1593,17.2179,18.3432,0.8161,0.8247,15.2564,1.125,1.9532,0.0,0.0,0.0
qwen3-8b,8192,baseline,1,prefill: first token,2,False,1,prefill: first token,18.3432,18.3432,18.3432,18.3432,0.0,0.0086,15.2564,1.125,1.9532,0.0,0.0,0.0
qwen3-8b,8192,baseline,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,18.3432,18.3432,18.3432,18.3432,0.0,0.0086,15.2564,1.125,1.9532,0.0,0.0,0.0
qwen3-8b,8192,baseline,1,decode: target verify,9,False,189.312,decode: target verify,18.3721,18.43,18.4132,18.4134,0.0166,0.0252,15.2564,1.1952,1.9532,0.0,0.0,0.0
qwen3-8b,8192,baseline,1,decode: verify rollback/crop,10,False,189.312,decode: verify rollback/crop,18.3563,18.4134,18.4134,18.4134,0.0,0.0086,15.2564,1.1952,1.9532,0.0,0.0,0.0
qwen3-8b,16384,dflash,1,prefill: target forward,0,True,1,target layer 35,21.726,21.7263,17.2182,20.0937,1.6326,1.6415,15.2564,2.2501,1.9532,0.0,0.625,0.0
qwen3-8b,16384,dflash,1,prefill: context-feature build,1,False,1,prefill: context-feature build,20.7185,20.7187,20.0937,20.0937,0.625,1.2589,15.2564,2.2501,1.9532,0.0,0.0,0.0
qwen3-8b,16384,dflash,1,prefill: first token,2,False,1,prefill: first token,20.0935,20.0937,20.0937,20.0937,0.0,0.6339,15.2564,2.2501,1.9532,0.0,0.0,0.0
qwen3-8b,16384,dflash,1,prefill: context-feature concat,3,False,1,prefill: context-feature concat,20.0935,20.0937,20.0937,20.0937,0.0,0.0089,15.2564,2.2501,1.9532,0.0,0.0,0.625
qwen3-8b,16384,dflash,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,20.0935,20.0937,20.0937,20.0937,0.0,0.0089,15.2564,2.2501,1.9532,0.0,0.0,0.625
qwen3-8b,16384,dflash,1,decode: first draft forward,5,False,1,decode: first draft forward,20.7283,20.7285,20.0937,20.4068,0.3217,0.3309,15.2564,2.2501,1.9532,0.3128,0.0,0.625
