model,context_length,hidden_states,num_devices,mean_acceptance_length,peak_memory_gb,peak_memory_reserved_gb,draft_overhead_gb,draft_weight_gb,max_draft_cache_gb,max_target_hidden_states_gb,max_context_feature_gb,max_target_cache_gb,target_weight_gb,resident_total_gb,transient_gb,peak_site_operation,peak_site_unanimity,mean_latency_s,mean_ttft_s,mean_decode_s,mean_time_per_output_token_ms,aggregate_time_per_output_token_ms,decode_throughput_tok_s,drafter_share_of_decode_pct,draft_forward_s,context_feature_s,target_forward_s,other_s,mean_output_tokens
qwen3-8b,4096,selective,1,3.1101,18.3447,18.4238,2.3536,1.9532,0.0879,0.1562,0.1562,0.6328,15.2564,18.2429,0.1019,target layer 35,32/32,3.6511,0.6889,2.9623,20.896,16.683,59.943,10.637,9.993,0.086,80.507,4.17,177.5
qwen3-8b,8192,selective,1,3.0853,19.4718,19.6152,2.7442,1.9532,0.166,0.3125,0.3125,1.1953,15.2564,19.196,0.2759,target layer 35,32/32,5.4228,1.4447,3.9781,28.413,21.728,46.024,9.385,11.835,0.109,110.926,4.392,183.03
qwen3-8b,16384,selective,1,2.5049,21.7263,22.0195,3.5256,1.9532,0.3223,0.625,0.625,2.3203,15.2564,21.1023,0.624,target layer 35,32/32,12.5621,3.2657,9.2964,52.394,42.687,23.426,6.92,20.416,0.168,270.53,6.332,217.75
qwen3-8b,32768,selective,1,1.4795,26.2347,26.8047,5.0795,1.9532,0.6262,1.25,1.25,4.5085,15.2564,24.8444,1.3903,target layer 35,32/32,9.71,8.2703,1.4397,128.516,117.116,8.539,11.353,5.095,0.13,40.328,0.473,12.28
qwen3-8b,65536,selective,1,2.5489,35.2513,36.2578,8.213,1.9532,1.2598,2.5,2.5,9.0703,15.2564,32.5397,2.7116,target layer 35,32/32,29.6545,23.4891,6.1653,208.228,125.71,7.955,7.145,13.827,0.265,181.921,1.225,49.03
qwen3.5-9b,4096,selective,1,8.9759,21.8171,21.8984,3.0027,2.4064,0.0963,0.25,0.25,0.1948,16.6778,19.8752,1.9419,target layer 30,32/32,5.2065,1.224,3.9825,26.34,16.193,61.757,6.314,7.984,0.06,116.435,2.925,245.88
qwen3.5-9b,8192,selective,1,7.0721,24.4918,24.5742,3.5942,2.4064,0.1879,0.5,0.5,0.3191,16.6778,20.5911,3.9007,target layer 30,32/32,6.1665,2.4225,3.744,29.477,20.245,49.396,6.891,8.17,0.083,108.737,2.778,184.88
qwen3.5-9b,16384,selective,1,8.832,29.8412,29.9453,4.7817,2.4064,0.3754,1.0,1.0,0.5698,16.6778,22.0293,7.812,target layer 30,32/32,8.9903,4.8426,4.1477,26.568,16.868,59.283,7.736,10.132,0.132,119.504,2.918,245.81
qwen3.5-9b,32768,selective,1,7.0583,40.5401,41.0215,7.1567,2.4064,0.7504,2.0,2.0,1.0691,16.6778,24.9036,15.6365,target layer 30,32/32,10.7691,10.1478,0.6214,58.278,26.145,38.248,30.164,5.79,0.196,13.687,0.172,23.72
qwen3.5-9b,65536,selective,2,6.9074,62.4462,73.1875,11.9067,2.4064,1.5004,4.0,4.0,2.068,16.6778,30.6525,31.7937,target layer 30,32/32,25.3417,24.4771,0.8646,79.449,35.505,28.165,38.03,10.108,0.397,16.835,0.283,24.31
