model,context_length,hidden_states,num_devices,mean_acceptance_length,peak_memory_gb,baseline_peak_memory_gb,peak_phase,peak_interval_label,peak_interval_gb,peak_target_weight_gb,peak_target_kv_gb,peak_draft_weight_gb,peak_draft_kv_gb,peak_selected_hidden_gb,peak_context_feature_gb,peak_unattributed_gb,peak_transient_gb,v1_transient_gb,v1_over_phase_local,target_kv_recorded_gb,target_kv_at_peak_gb,first_draft_forward_ms,steady_draft_forward_ms,first_over_steady,first_draft_share_of_decode_pct,mean_first_draft_fraction_pct,steady_draft_calls,first_draft_cache_gb,steady_draft_cache_gb,first_draft_transient_gb,steady_draft_transient_gb,mean_latency_s,mean_ttft_s,mean_decode_s,aggregate_time_per_output_token_ms,decode_throughput_tok_s,drafter_share_of_decode_pct,mean_output_tokens
qwen3-8b,4096,selective,1,3.1101,18.3447,18.1885,prefill: target forward,target layer 35,18.3447,15.2564,0.5625,1.9532,0.0,0.1562,0.0,0.4163,0.4079,0.0211,0.0518,0.6328,0.5625,17.078,5.872,2.91,0.568,7.421,55.75,0.0784,0.0879,0.0808,0.0094,3.6943,0.6876,3.0067,16.933,59.057,11.595,177.5
qwen3-8b,8192,selective,1,3.0853,19.4718,19.1593,prefill: target forward,target layer 35,19.4718,15.2564,1.125,1.9532,0.0,0.3125,0.0,0.8247,0.8161,0.1148,0.1406,1.1953,1.125,29.391,6.071,4.84,0.737,8.746,58,0.1566,0.166,0.1611,0.0171,5.4327,1.4451,3.9877,21.78,45.914,9.716,183.03
qwen3-8b,16384,selective,1,2.5049,21.7263,21.1013,prefill: target forward,target layer 35,21.7263,15.2564,2.2501,1.9532,0.0,0.625,0.0,1.6415,1.6326,0.3023,0.1851,2.3203,2.2501,51.976,7.164,7.26,0.557,8.659,85.53,0.3128,0.3223,0.3217,0.0328,12.5887,3.26,9.3286,42.835,23.345,7.22,217.75
qwen3-8b,32768,selective,1,1.4795,26.2347,24.9847,prefill: target forward,target layer 35,26.2347,15.2564,4.5001,1.9532,0.0,1.25,0.0,3.2749,3.2654,0.7473,0.2288,4.5085,4.5001,99.018,9.263,10.69,6.859,13.689,6.62,0.6253,0.6262,0.643,0.0631,9.6905,8.2456,1.4449,117.545,8.507,11.385,12.28
qwen3-8b,65536,selective,1,2.5489,35.2513,32.7513,prefill: target forward,target layer 35,35.2513,15.2564,9.0,1.9532,0.0,2.5,0.0,6.5417,6.531,1.426,0.2183,9.0703,9.0,201.875,14.457,13.96,3.21,13.157,17.84,1.2503,1.2598,1.2856,0.1264,30.6772,24.3866,6.2906,128.266,7.796,7.437,49.03
qwen3.5-9b,4096,selective,1,8.9759,21.8171,21.5984,prefill: target forward,target layer 30,21.8171,16.6778,1.6719,2.4064,0.0,0.25,0.0,0.8111,0.8025,1.8454,2.2995,0.1948,1.6719,24.852,8.186,3.04,0.597,6.101,26.28,0.0941,0.0963,0.0965,0.0638,5.2893,1.1242,4.1651,16.935,59.048,5.83,245.88
qwen3.5-9b,8192,selective,1,7.0721,24.4918,24.0543,prefill: target forward,target layer 30,24.4918,16.6778,3.2969,2.4064,0.0,0.5,0.0,1.6108,1.6021,3.7083,2.3146,0.3191,3.2969,43.155,8.363,5.16,1.083,11.958,25,0.1879,0.1119,0.1925,0.0479,6.2217,2.2367,3.985,21.549,46.406,6.429,184.88
qwen3.5-9b,16384,selective,1,8.832,29.8412,28.9662,prefill: target forward,target layer 30,29.8412,16.6778,6.5469,2.4064,0.0,1.0,0.0,3.2103,3.2012,7.4278,2.3203,0.5698,6.5469,80.541,8.471,9.51,1.904,16.238,26.72,0.3754,0.1432,0.3842,0.0167,9.0291,4.7975,4.2317,17.21,58.105,7.369,245.81
qwen3.5-9b,32768,selective,1,7.0583,40.5401,38.7901,prefill: target forward,target layer 30,40.5401,16.6778,13.0469,2.4064,0.0,2.0,0.0,6.4091,6.3994,14.868,2.3233,1.0691,13.0469,147.962,8.977,16.48,23.593,37.897,2.22,0.7504,0.2056,0.7685,0.0163,11.0734,10.445,0.6284,26.441,37.82,27.751,23.72
qwen3.5-9b,65536,selective,2,6.9074,62.4462,58.4462,prefill: target forward,target layer 30,62.4462,16.6778,26.0469,2.4064,0.0,4.0,0.0,13.3152,13.2964,30.2571,2.2756,2.068,26.0469,290.663,10.699,27.17,33.778,49.662,2.38,1.5004,0.3306,1.5366,0.0163,25.4657,24.6039,0.8618,35.393,28.254,38.214,24.31
