model,context_length,mode,num_devices,mean_latency_s,mean_ttft_s,mean_decode_s,mean_time_per_output_token_ms,aggregate_time_per_output_token_ms,decode_throughput_tok_s,peak_memory_gb,peak_memory_reserved_gb,max_target_cache_gb,target_weight_gb,resident_total_gb,transient_gb,peak_site_operation,target_forwards_per_req,mean_output_tokens,speedup_tpot,ratio_throughput,ratio_target_forwards,ratio_memory
qwen3-8b,4096,dflash,1,3.6511,0.6889,2.9623,20.896,16.683,59.943,18.3447,18.4238,0.6328,15.2564,18.2429,0.1019,target layer 35,56.75,177.5,1.8282,1.8282,3.0881,1.0086
qwen3-8b,4096,baseline,1,6.0684,0.6918,5.3766,27.72,30.499,32.788,18.1885,18.4238,0.6327,15.2564,17.8423,0.3461,target layer 35,175.25,176.25,,,,
qwen3-8b,8192,dflash,1,5.4228,1.4447,3.9781,28.413,21.728,46.024,19.4718,19.6152,1.1953,15.2564,19.196,0.2759,target layer 35,59.0,183.03,1.5243,1.5243,3.2087,1.0163
qwen3-8b,8192,baseline,1,7.7511,1.4468,6.3043,30.243,33.12,30.194,19.1593,19.6152,1.1952,15.2564,18.4048,0.7545,target layer 35,189.31,190.31,,,,
qwen3-8b,16384,dflash,1,12.5621,3.2657,9.2964,52.394,42.687,23.426,21.7263,22.0195,2.3203,15.2564,21.1023,0.624,target layer 35,86.53,217.75,0.8915,0.8915,2.5132,1.0296
qwen3-8b,16384,baseline,1,11.5833,3.2682,8.3151,34.913,38.055,26.278,21.1013,22.0195,2.3202,15.2564,19.5298,1.5715,target layer 35,217.47,218.47,,,,
qwen3-8b,32768,dflash,1,9.71,8.2703,1.4397,128.516,117.116,8.539,26.2347,26.8047,4.5085,15.2564,24.8444,1.3903,target layer 35,7.62,12.28,0.3791,0.3791,1.4836,1.05
qwen3-8b,32768,baseline,1,8.8158,8.2676,0.5481,39.689,44.403,22.521,24.9847,26.8047,4.5066,15.2564,21.7162,3.2685,target layer 35,11.31,12.31,,,,
qwen3-8b,65536,dflash,1,29.6545,23.4891,6.1653,208.228,125.71,7.955,35.2513,36.2578,9.0703,15.2564,32.5397,2.7116,target layer 35,18.84,49.03,0.532,0.532,2.6153,1.0763
qwen3-8b,65536,baseline,1,26.8524,23.4882,3.3642,58.253,66.877,14.953,32.7513,36.2578,9.0702,15.2564,26.2798,6.4715,target layer 35,49.28,50.28,,,,
qwen3.5-9b,4096,dflash,1,5.2065,1.224,3.9825,26.34,16.193,61.757,21.8171,21.8984,0.1948,16.6778,19.8752,1.9419,target layer 30,27.28,245.88,2.3102,2.3102,6.4914,1.0101
qwen3.5-9b,4096,baseline,1,7.8852,1.2219,6.6633,34.287,37.408,26.732,21.5984,21.8984,0.1893,16.6778,19.2734,2.3249,target layer 30,177.09,178.09,,,,
qwen3.5-9b,8192,dflash,1,6.1665,2.4225,3.744,29.477,20.245,49.396,24.4918,24.5742,0.3191,16.6778,20.5911,3.9007,target layer 30,26.0,184.88,1.8151,1.8151,5.7031,1.0182
qwen3.5-9b,8192,baseline,1,7.8982,2.4115,5.4867,33.467,36.746,27.214,24.0543,24.5742,0.3143,16.6778,19.3984,4.6559,target layer 30,148.28,149.28,,,,
qwen3.5-9b,16384,dflash,1,8.9903,4.8426,4.1477,26.568,16.868,59.283,29.8412,29.9453,0.5698,16.6778,22.0293,7.812,target layer 30,27.72,245.81,2.2728,2.2728,8.2604,1.0302
qwen3.5-9b,16384,baseline,1,13.657,4.8389,8.818,35.866,38.339,26.083,28.9662,29.9453,0.5643,16.6778,19.6484,9.3178,target layer 30,228.97,229.97,,,,
qwen3.5-9b,32768,dflash,1,10.7691,10.1478,0.6214,58.278,26.145,38.248,40.5401,41.0215,1.0691,16.6778,24.9036,15.6365,target layer 30,3.22,23.72,1.3556,1.3556,2.9709,1.0451
qwen3.5-9b,32768,baseline,1,10.5233,10.1477,0.3756,33.96,35.441,28.216,38.7901,41.0215,1.0504,16.6778,20.1346,18.6555,target layer 30,9.56,10.56,,,,
qwen3.5-9b,65536,dflash,2,25.3417,24.4771,0.8646,79.449,35.505,28.165,62.4462,73.1875,2.068,16.6778,30.6525,31.7937,target layer 30,3.38,24.31,1.2817,1.2817,2.9537,1.0684
qwen3.5-9b,65536,baseline,2,24.5399,24.0394,0.5005,43.32,45.508,21.974,58.4462,73.1875,2.0501,16.6778,21.1343,37.312,target layer 30,9.97,10.97,,,,
