model,context_length,mode,num_devices,mean_latency_s,mean_ttft_s,mean_decode_s,aggregate_time_per_output_token_ms,decode_throughput_tok_s,peak_memory_gb,peak_memory_reserved_gb,peak_phase,peak_interval_label,peak_interval_gb,peak_transient_gb,v1_transient_gb,target_kv_recorded_gb,target_kv_at_peak_gb,target_kv_gap_gb,target_weight_gb,target_forwards_per_req,mean_output_tokens,speedup_tpot,ratio_throughput,ratio_target_forwards,ratio_memory,peak_delta_vs_baseline_gb,selected_hidden_at_peak_gb
qwen3-8b,4096,dflash,1,3.6943,0.6876,3.0067,16.933,59.057,18.3447,18.4238,prefill: target forward,target layer 35,18.3447,0.4079,0.0211,0.6328,0.5625,-0.0703,15.2564,56.75,177.5,1.8206,1.8206,3.0881,1.0086,0.1562,0.1562
qwen3-8b,4096,baseline,1,6.1236,0.6891,5.4346,30.828,32.438,18.1885,18.4238,prefill: target forward,target layer 35,18.1885,0.4079,0.3461,0.6327,0.5625,-0.0702,15.2564,175.25,176.25,,,,,,
qwen3-8b,8192,dflash,1,5.4327,1.4451,3.9877,21.78,45.914,19.4718,19.6152,prefill: target forward,target layer 35,19.4718,0.8161,0.1148,1.1953,1.125,-0.0703,15.2564,59.0,183.03,1.534,1.534,3.2087,1.0163,0.3125,0.3125
qwen3-8b,8192,baseline,1,7.8048,1.4452,6.3596,33.41,29.931,19.1593,19.6152,prefill: target forward,target layer 35,19.1593,0.8161,0.7545,1.1952,1.125,-0.0702,15.2564,189.31,190.31,,,,,,
qwen3-8b,16384,dflash,1,12.5887,3.26,9.3286,42.835,23.345,21.7263,22.0195,prefill: target forward,target layer 35,21.7263,1.6326,0.3023,2.3203,2.2501,-0.0702,15.2564,86.53,217.75,0.8983,0.8983,2.5132,1.0296,0.625,0.625
qwen3-8b,16384,baseline,1,11.6686,3.261,8.4075,38.478,25.989,21.1013,22.0195,prefill: target forward,target layer 35,21.1013,1.6326,1.5715,2.3202,2.2501,-0.07,15.2564,217.47,218.47,,,,,,
qwen3-8b,32768,dflash,1,9.6905,8.2456,1.4449,117.545,8.507,26.2347,26.8047,prefill: target forward,target layer 35,26.2347,3.2654,0.7473,4.5085,4.5001,-0.0084,15.2564,7.62,12.28,0.3803,0.3803,1.4836,1.05,1.25,1.25
qwen3-8b,32768,baseline,1,8.8009,8.2492,0.5517,44.698,22.372,24.9847,26.8047,prefill: target forward,target layer 35,24.9847,3.2654,3.2685,4.5066,4.5001,-0.0065,15.2564,11.31,12.31,,,,,,
qwen3-8b,65536,dflash,1,30.6772,24.3866,6.2906,128.266,7.796,35.2513,36.2578,prefill: target forward,target layer 35,35.2513,6.531,1.426,9.0703,9.0,-0.0703,15.2564,18.84,49.03,0.5356,0.5356,2.6153,1.0763,2.5,2.5
qwen3-8b,65536,baseline,1,27.8789,24.423,3.4558,68.701,14.556,32.7513,36.2578,prefill: target forward,target layer 35,32.7513,6.531,6.4715,9.0702,9.0,-0.0702,15.2564,49.28,50.28,,,,,,
qwen3.5-9b,4096,dflash,1,5.2893,1.1242,4.1651,16.935,59.048,21.8171,21.8984,prefill: target forward,target layer 30,21.8171,0.8025,1.8454,0.1948,1.6719,1.4771,16.6778,27.28,245.88,2.348,2.348,6.4914,1.0101,0.2188,0.25
qwen3.5-9b,4096,baseline,1,8.2064,1.1235,7.0829,39.764,25.148,21.5984,21.8984,prefill: target forward,target layer 30,21.5984,0.8338,2.3249,0.1893,1.6719,1.4826,16.6778,177.09,178.09,,,,,,
qwen3.5-9b,8192,dflash,1,6.2217,2.2367,3.985,21.549,46.406,24.4918,24.5742,prefill: target forward,target layer 30,24.4918,1.6021,3.7083,0.3191,3.2969,2.9778,16.6778,26.0,184.88,1.8408,1.8408,5.7031,1.0182,0.4375,0.5
qwen3.5-9b,8192,baseline,1,8.1561,2.2334,5.9227,39.667,25.21,24.0543,24.5742,prefill: target forward,target layer 30,24.0543,1.6646,4.6559,0.3143,3.2969,2.9826,16.6778,148.28,149.28,,,,,,
qwen3.5-9b,16384,dflash,1,9.0291,4.7975,4.2317,17.21,58.105,29.8412,29.9453,prefill: target forward,target layer 30,29.8412,3.2012,7.4278,0.5698,6.5469,5.9771,16.6778,27.72,245.81,2.2451,2.2451,8.2604,1.0302,0.875,1.0
qwen3.5-9b,16384,baseline,1,13.6822,4.7955,8.8867,38.638,25.881,28.9662,29.9453,prefill: target forward,target layer 30,28.9662,3.3262,9.3178,0.5643,6.5469,5.9826,16.6778,228.97,229.97,,,,,,
qwen3.5-9b,32768,dflash,1,11.0734,10.445,0.6284,26.441,37.82,40.5401,41.0215,prefill: target forward,target layer 30,40.5401,6.3994,14.868,1.0691,13.0469,11.9778,16.6778,3.22,23.72,1.3826,1.3826,2.9709,1.0451,1.75,2.0
qwen3.5-9b,32768,baseline,1,10.8296,10.4421,0.3874,36.558,27.354,38.7901,41.0215,prefill: target forward,target layer 30,38.7901,6.6494,18.6555,1.0504,13.0469,11.9964,16.6778,9.56,10.56,,,,,,
qwen3.5-9b,65536,dflash,2,25.4657,24.6039,0.8618,35.393,28.254,62.4462,73.1875,prefill: target forward,target layer 30,62.4462,13.2964,30.2571,2.068,26.0469,23.9789,16.6778,3.38,24.31,1.3114,1.3114,2.9537,1.0684,4.0,4.0
qwen3.5-9b,65536,baseline,2,24.4011,23.8907,0.5104,46.414,21.545,58.4462,73.1875,prefill: target forward,target layer 30,58.4462,13.2964,37.312,2.0501,26.0469,23.9967,16.6778,9.97,10.97,,,,,,
